target,name
-1,Продавец кассир
5223,Продавец-кассир
7212,Электросварщик
6121,Оператор машинного доения
5120,Повар шашлычник
2211,Врач кардиолог
3255,Массажист
9333,Грузчик
9621,Пеший курьер 
7114,Бетонщик
6210,Вальщик леса
9622,Подсобный рабочий
6112,Виноградарь
2411,Главный бухгалтер
4120,Секретарь
7115,Столяр 4 разряда
9334,Товаровед кладовщик
4223,Оператор связи
8321,Водитель автомобиля
3312,Кредитный специалист
8343,Машинист крана автомобильного 
1349,Начальник отдела 
8111,Машинист бульдозера
3343,Помощник руководителя аналитик
1211,Главный бухгалтер
4323,Менеджер по логистике и вэд
3221,Медицинская сестра процедурной
8342,Машинист бульдозера 6 разряда
5412,Полицейский
6221,Рыбовод селекционер
1120,Директор магазина 
8322,Водитель
5132,Бармен 
7222,Слесарь ремонтник
4222,Оператор колл центра
1221,Руководитель отдела продаж супервайзер 
9613,Уборщица
9321,Упаковщик фасовщик
1420,Заместитель директора магазина 
1213,Руководитель проектов по энергоэффективности
5153,Рабочий по комплексному обслуживанию и ремонту зданий
7412,Электромонтер оперативно выездной бригады
5414,Охранник
4132,Оператор 1c
7223,Токарь
3341,Администратор офиса
7119,Дорожный рабочий
2432,Менеджер по работе с клиентами
3123,Производитель работ
1324,Мастер строительных и монтажных работ прораб
4412,Почтальон
7126,Слесарь сантехник
2433,Менеджер по продажам
5131,Официант бармен
1219,Заведующий хозяйством
8341,Тракторист машинист сельскохозяйственного производства
3323,Специалист по закупкам 
8332,Водитель автомобиля
4224,Администратор гостиницы 
7533,Швея закройщик
7112,Каменщик 
2240,Фельдшер 
8331,Водитель автобуса
9412,Кухонный рабочий
6222,Рыбак прибрежного лова
7512,Пекарь 
3331,Водитель экспедитор категории b
2269,Лаборант 
9112,Горничная в отель
4110,Специалист по документообороту
3252,Медицинский регистратор
7231,Слесарь механосборочных работ 4 разряда
8182,Оператор котельной
2522,Системный администратор
2413,Товаровед
8211,Слесарь ремонтник
1325,Логист
1323,Начальник строительного участка
3431,Администратор салона красоты
6111,Машинист автогрейдера
1321,Начальник производства
7131,Маляр по металлу
7233,Слесарь ремонтник на горячий участок
2149,Инженер пто
2141,Инженер пто
1342,Заведующий фельдшерско акушерским пунктом фельдшер
5230,Операционист кассир 
4211,Кассир банка
2423,Начальник отдела по работе с персоналом
3111,Лаборант
1223,Руководитель проекта
1344,Заместитель начальник отдела 
7411,Электромонтер по ремонту воздушных линий электропередачи 3 разряда
5222,Товаровед магазина 
8183,Упаковщик
8344,Водитель погрузчика
3342,Секретарь судебного заседания
1345,Заместитель директора магазина 
5246,Бариста
8311,Водитель погрузчика
3432,Секретарь судебного заседания
3256,Медицинская сестра 
5142,Продавец консультант
3119,Товаровед оценщик
7511,Мойщик посуды
2434,Менеджер по продажам
2212,Врач ультразвуковой диагностики
7521,Почтальон
7213,Вальщик леса
3240,Ветеринарный фельдшер
3141,Техник лаборант
9212,Животновод в отделение молодняка
1222,Начальник участка 
7111,Арматурщик бетонщик
3411,Секретарь судебного заседания
1312,Главный рыбовод
3251,Зубной врач
3322,Менеджер по продажам автомобилей
3259,Фельдшер лаборант медицинский техник
1330,Руководитель проектов
3339,Оператор по работе с клиентами
1439,Начальник отделения 
7421,Электромонтер по ремонту и обслуживанию электрооборудования
3313,Заместитель главного бухгалтера главный бухгалтер
7121,Бетонщик
2414,Товаровед оценщик
5151,Заведующий хозяйством
3143,Специалист в области лесных ресурсов и лесоводства
2222,Заведующий фельдшерско акушерским пунктом фельдшер 
3122,Начальник участка 
3334,Менеджер по продажам новостроек
